"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2dHoVW9AxJVSRebPRyV2aA","Gone","spotify:artist:3eVa5w3URK5duf6eyVDbu9","ROSÉ","spotify:album:5BQcoDfcZ8aBcikYX9B7Ob","R","spotify:artist:3eVa5w3URK5duf6eyVDbu9","ROSÉ","2021-03-12","https://i.scdn.co/image/ab67616d0000b273fdec91537c467efa0cd75e2f","1","2","207163","","false","72","KRA402100041","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:18:43Z"
"spotify:track:1Q6lzzQHM5dvtTCwcfeKDy","PARANOIA","spotify:artist:5vGoWnZO65NBgiZYBmi3iW","KANGDANIEL","spotify:album:6vxwhImvm7xkbIMk0e1LVv","PARANOIA","spotify:artist:5vGoWnZO65NBgiZYBmi3iW","KANGDANIEL","2021-02-16","https://i.scdn.co/image/ab67616d0000b2732957d10c7977f7a17166426d","1","1","195333","https://p.scdn.co/mp3-preview/6ccdcff00b2767469600c983757b45df345e0c09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","KRB462100152","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:19:18Z"
"spotify:track:1wcr8DjnN59Awev8nnKpQ4","Drunk-Dazed","spotify:artist:5t5FqBwTcgKTaWmfEbwQY9","ENHYPEN","spotify:album:4LGYBcRsteiXjcPD4QQvxv","BORDER : CARNIVAL","spotify:artist:5t5FqBwTcgKTaWmfEbwQY9","ENHYPEN","2021-04-26","https://i.scdn.co/image/ab67616d0000b273714e56679ab196354e2e443e","1","2","193260","https://p.scdn.co/mp3-preview/bd417ad64a1b87aa5d95d8d9907f4be857164175?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USA2P2108330","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:19:59Z"
"spotify:track:69Nn4yZnYo1nw4mfQvNbfU","BYE BYE BYE","spotify:artist:7IkfFdVcI6HrRKuOO9NvX5","WEi","spotify:album:7nvcGJpVJBTOtYKGTEtCmr","IDENTITY : Action","spotify:artist:7IkfFdVcI6HrRKuOO9NvX5","WEi","2021-06-09","https://i.scdn.co/image/ab67616d0000b2734f90a5572f3b27bfb789e361","1","1","205306","https://p.scdn.co/mp3-preview/f0b002f5e41ddcb6b74f0a518aabbf47c04a3b12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","KRA382152086","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:20:16Z"
"spotify:track:1Zsy7gMUcHDhxC0bbyZmC2","GAMBLER","spotify:artist:4TnGh5PKbSjpYqpIdlW5nz","MONSTA X","spotify:album:2Zuovdo5g1RhfbHniwZ8yI","One of a Kind","spotify:artist:4TnGh5PKbSjpYqpIdlW5nz","MONSTA X","2021-06-01","https://i.scdn.co/image/ab67616d0000b27303b313cdf98d61d141645f11","1","1","213026","https://p.scdn.co/mp3-preview/43171470e7bd5f07f1cdab826ba795fe18bc7676?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","KRMIM2120809","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:20:48Z"
"spotify:track:3U764c5XbUqjr408oTrjfy","D-D-DANCE","spotify:artist:5r1tUTxVSgvBHnoDuDODPH","IZ*ONE","spotify:album:1owCxA0CX66z6abjiZ3m6g","D-D-DANCE","spotify:artist:5r1tUTxVSgvBHnoDuDODPH","IZ*ONE","2021-01-26","https://i.scdn.co/image/ab67616d0000b2735cb406e6bde56c51a9e04a8f","1","1","205066","https://p.scdn.co/mp3-preview/ab8e0f315cb22f44d4f4799e3ff14769c87f26b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","KRA382100284","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:20:54Z"
"spotify:track:3SCxTtLDtZ6HsQrytAoyLV","Lock Down","spotify:artist:4e2umhzNHTSeQnSCWPN0uT","EPEX","spotify:album:7vmtkwSVS1bKSvRbQ0ALvY","1st EP Album 'Bipolar Pt.1 Prelude of Anxiety'","spotify:artist:4e2umhzNHTSeQnSCWPN0uT","EPEX","2021-06-08","https://i.scdn.co/image/ab67616d0000b273a98ac6e99650043fc9a1aba0","1","2","207546","https://p.scdn.co/mp3-preview/9a8fa1e51e8b5f85a0507017bba6e4ed07d34704?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","KRC282100002","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:21:02Z"
"spotify:track:1LmAeYKwK2BA2FFUMyTXD2","Ring Ring","spotify:artist:4hozqATxbpy9TwKWRT8QVO","Rocket Punch","spotify:album:1IFwB37JXLhIh53bSBBMbI","Ring Ring","spotify:artist:4hozqATxbpy9TwKWRT8QVO","Rocket Punch","2021-05-17","https://i.scdn.co/image/ab67616d0000b273156d1da868700786d4d06dce","1","1","182929","https://p.scdn.co/mp3-preview/a6862a15dbf8f848e44eb7054f843584e350555c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","KRA382103732","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:21:21Z"
"spotify:track:2FymmKBuog0loCuNXMwQID","Ready to love","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","spotify:album:79VvXTQNeLr8KmvcdxN0Pc","SEVENTEEN 8th Mini Album 'Your Choice'","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","2021-06-18","https://i.scdn.co/image/ab67616d0000b273c1a20972c9a083d5cece9ce5","1","2","186760","https://p.scdn.co/mp3-preview/dc0c07a86ed1777929f5c86e57804a4745472ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USA2P2108462","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:21:33Z"
"spotify:track:6NBbpQfD2MZcCNBOy7iE7Q","Beautiful","spotify:artist:5Qnl3RAtzne7J1dxRv1UBc","NCT 2021","spotify:album:7woFc7Z4JMbLFjvlIoCCQB","Universe - The 3rd Album","spotify:artist:48eO052eSDcn8aTxiv6QaG","NCT","2021-12-14","https://i.scdn.co/image/ab67616d0000b27335eac2d54ef01359bc752da3","1","13","261186","","false","44","KRA302100392","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:22:03Z"
