"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1pdFdv8R6ezIAUUNkn785b","CHEERS","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","spotify:album:15pRJdCJtDyzQaY9tGs750","SEVENTEEN 4th Album Repackage 'SECTOR 17'","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","2022-07-18","https://i.scdn.co/image/ab67616d0000b273c31e3f3a15f96cfc4c8f7b7a","1","4","181466","https://p.scdn.co/mp3-preview/ec38daf4b7cce9f519fa429db984ab2b19027940?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USA2P2212524","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:10:17Z"
"spotify:track:3XZAvh2NCDQYHgJei35VQ1","Up!","spotify:artist:5R7AMwDeroq6Ls0COQYpS4","Kep1er","spotify:album:0yMosWzriw3613d26x7MQK","DOUBLAST","spotify:artist:5R7AMwDeroq6Ls0COQYpS4","Kep1er","2022-06-20","https://i.scdn.co/image/ab67616d0000b2734d1fce6f6b2b64395f7e804e","1","1","192026","https://p.scdn.co/mp3-preview/1afb4d86527d84bcc4471c88e977aa07d5aeb7bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","KRA492200547","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:10:29Z"
"spotify:track:2tEMbypmvYhf84mzVbhxwZ","NANANA","spotify:artist:6nfDaffa50mKtEOwR8g4df","GOT7","spotify:album:3vIVsuFU7ZKCwKB2Yri8lM","GOT7","spotify:artist:6nfDaffa50mKtEOwR8g4df","GOT7","2022-05-23","https://i.scdn.co/image/ab67616d0000b27378672dc9ecfb1a2e87501284","1","3","187466","https://p.scdn.co/mp3-preview/826691b118e86add6846caab531825ecdb751411?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","KRA252201036","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:10:47Z"
"spotify:track:4XcxgZSriCYamtIA7BgT7V","BTBT","spotify:artist:0UntV1Bw2hk3fbRrm9eMP6, spotify:artist:6GMYJwaziB4ekv1Y6wCDWS, spotify:artist:5PS3ZZE5bBiZ3Ct9HiRG2B","B.I, Soulja Boy, DeVita","spotify:album:6z2Ij8op0iB16BnmrCy0vH","BTBT","spotify:artist:0UntV1Bw2hk3fbRrm9eMP6, spotify:artist:6GMYJwaziB4ekv1Y6wCDWS","B.I, Soulja Boy","2022-05-13","https://i.scdn.co/image/ab67616d0000b2732f485bcd37d1d6733d324f7d","1","1","219549","https://p.scdn.co/mp3-preview/d2a8db5adc616008ce6e2a618c3a6b9e3ae2cc71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBKPL2296992","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:11:04Z"
"spotify:track:0dcnrLo8s1rhjm8euGjI4n","DARARI","spotify:artist:3KonOYiLsU53m4yT7gNotP","TREASURE","spotify:album:17l09k7ZDb4GYwmsIVGcRZ","THE SECOND STEP : CHAPTER ONE","spotify:artist:3KonOYiLsU53m4yT7gNotP","TREASURE","2022-02-15","https://i.scdn.co/image/ab67616d0000b27328be5dc3cc0bd6f2482c1d56","1","3","220716","https://p.scdn.co/mp3-preview/7e3fa2852f563980f7d1af59b997c8d5457254a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","KRA402100151","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:11:22Z"
"spotify:track:7rXcCpIAoOUCydkVDMcoPV","INVU","spotify:artist:3qNVuliS40BLgXGxhdBdqu","TAEYEON","spotify:album:7i2YLTVQ0dyngRuUqtGmr9","INVU - The 3rd Album","spotify:artist:3qNVuliS40BLgXGxhdBdqu","TAEYEON","2022-02-14","https://i.scdn.co/image/ab67616d0000b273034c3a8ba89c6a5ecfda3175","1","1","204973","https://p.scdn.co/mp3-preview/e9590f3964930840c71bf33f7132f51b147baf63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","KRA302200026","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:12:36Z"
"spotify:track:2stElshTCkdXTnCkD9moQF","Slow Mo","spotify:artist:2p48L95TwEaYkSdn6R7LOr","BamBam","spotify:album:1J1S8EQgILHHmy64ouQXh7","B","spotify:artist:2p48L95TwEaYkSdn6R7LOr","BamBam","2022-01-18","https://i.scdn.co/image/ab67616d0000b2734fb248eae2430af1b12b4cbf","1","3","152666","https://p.scdn.co/mp3-preview/4a575c24f41cb39f56837d9a62e4ed440acb09a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","KRMIM2200983","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:12:58Z"
"spotify:track:2ouguQxJZn4jXisuNREqe5","Life's Too Short (English Version)","spotify:artist:6YVMFz59CuY7ngCxTxjpxE","aespa","spotify:album:4w1dbvUy1crv0knXQvcSeY","Girls - The 2nd Mini Album","spotify:artist:6YVMFz59CuY7ngCxTxjpxE","aespa","2022-07-08","https://i.scdn.co/image/ab67616d0000b273b3be3b970fc89a02f301c9da","1","6","178133","https://p.scdn.co/mp3-preview/cb0dc6dc8442589808c3ce8352da16e073651ff1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","KRA302200096","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:13:27Z"
"spotify:track:1oen3GpTcA486fTHaT7neg","FOREVER 1","spotify:artist:0Sadg1vgvaPqGTOjxu0N6c","Girls' Generation","spotify:album:3CcgnUkTrUaPTt4Ms1MkoP","FOREVER 1 - The 7th Album","spotify:artist:0Sadg1vgvaPqGTOjxu0N6c","Girls' Generation","2022-08-05","https://i.scdn.co/image/ab67616d0000b273aea29200523b1ee4d5b2c035","1","1","202533","https://p.scdn.co/mp3-preview/5cfed6890c64d38ea3991800541a4c37484703ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","KRA302200135","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:13:36Z"
"spotify:track:4JmbtS0Muijl37KP9lDscy","Heart Burn","spotify:artist:6MoXcK2GyGg7FIyxPU5yW6","SUNMI","spotify:album:0ahb3lp7jXxKUx3beS7AVu","Heart Burn","spotify:artist:6MoXcK2GyGg7FIyxPU5yW6","SUNMI","2022-06-29","https://i.scdn.co/image/ab67616d0000b273b78e41dc88b7ddda60738c9d","1","1","193173","https://p.scdn.co/mp3-preview/068315619337869e2a7631ac5461fe5db9d63b71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","KRMIM2236311","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:13:55Z"
"spotify:track:4b3rGL8LDSkbARUUA20136","VENOM","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","spotify:album:0Gmf4pfe0POEQq2FgGAj2q","ODDINARY","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","2022-03-18","https://i.scdn.co/image/ab67616d0000b2733613e1e0d35867a0814005a9","1","1","194840","https://p.scdn.co/mp3-preview/afda8f8f47eb19fff25165f3d74b293a281e499d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","US5TA2200026","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:14:18Z"
"spotify:track:0h7QMc9ZRzA9QJrbEHytn2","The Astronaut","spotify:artist:5vV3bFXnN6D6N3Nj4xRvaV","JIN","spotify:album:6nT2VfGN07ar1vdZyJY6ox","The Astronaut","spotify:artist:5vV3bFXnN6D6N3Nj4xRvaV","JIN","2022-10-28","https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a","1","1","282463","https://p.scdn.co/mp3-preview/7b72aa57bead2ef8a9360452fc7f2208ff4fa006?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USA2P2230326","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:14:27Z"
"spotify:track:1ex8euBuzVyqjThnYfwY2k","HELLO","spotify:artist:3KonOYiLsU53m4yT7gNotP","TREASURE","spotify:album:4l5YvRcmno5RMKZCZp1j0g","THE SECOND STEP : CHAPTER TWO","spotify:artist:3KonOYiLsU53m4yT7gNotP","TREASURE","2022-10-04","https://i.scdn.co/image/ab67616d0000b27357fa85a5c9f295d5e5b362e7","1","1","181432","https://p.scdn.co/mp3-preview/26a45c3fcf17f2f371a7ff55316351091a448e08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","KRA402200041","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:14:45Z"
"spotify:track:3QwiidVHfeE9y5jl4n2MTC","_WORLD","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","spotify:album:15pRJdCJtDyzQaY9tGs750","SEVENTEEN 4th Album Repackage 'SECTOR 17'","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","2022-07-18","https://i.scdn.co/image/ab67616d0000b273c31e3f3a15f96cfc4c8f7b7a","1","2","178453","https://p.scdn.co/mp3-preview/740b4182ddf76e4f2aa25b12a6a475d92879fb30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USA2P2212522","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:15:23Z"
"spotify:track:4XKXphKH76W4zNpkgFS5o2","MORE","spotify:artist:0b1sIQumIAsNbqAoIClSpy","j-hope","spotify:album:5Sk4Inca1WZhP7VLuD7DOi","MORE","spotify:artist:0b1sIQumIAsNbqAoIClSpy","j-hope","2022-07-01","https://i.scdn.co/image/ab67616d0000b273569b887843ceee392b65557b","1","1","180022","https://p.scdn.co/mp3-preview/dd566d14a82357b76e70eadb32a8d8c5113404a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USA2P2229477","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:16:01Z"
"spotify:track:1HsSIPLTQT354yJcQGfEY3","Good Boy Gone Bad","spotify:artist:0ghlgldX5Dd6720Q3qFyQB","TOMORROW X TOGETHER","spotify:album:1o8jYrnyZueTPIdhlHuTc8","minisode 2: Thursday's Child","spotify:artist:0ghlgldX5Dd6720Q3qFyQB","TOMORROW X TOGETHER","2022-05-09","https://i.scdn.co/image/ab67616d0000b27313ac5d67675999ba7b9c4f21","1","2","191038","https://p.scdn.co/mp3-preview/f55697d5e599772d26954e3304fa838ca8b07401?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USA2P2146796","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:16:18Z"
"spotify:track:3O8G8eVrhfXTGttyQ1xVuq","CASE 143","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","spotify:album:0T6hYH0UyDjNraWZk2mZWi","MAXIDENT","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","2022-10-07","https://i.scdn.co/image/ab67616d0000b27385bcbbac459056ad6ee9426b","1","1","191964","https://p.scdn.co/mp3-preview/f53fdfb418f36236458c0b123188e23ee612622f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","US5TA2200101","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:16:39Z"
"spotify:track:0CatzXH85XWyBqqdB6qPMB","Beatbox","spotify:artist:1gBUSTR3TyDdTVFIaQnc02","NCT DREAM","spotify:album:4sM1qNxjzxOvoH6jeFHx3W","Beatbox - The 2nd Album Repackage","spotify:artist:1gBUSTR3TyDdTVFIaQnc02","NCT DREAM","2022-05-30","https://i.scdn.co/image/ab67616d0000b2734fbde4c63b86079e0517b1cb","1","1","205133","https://p.scdn.co/mp3-preview/29c576cb1d802661c6cf98e2b3bb814977a9aad5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","KRA302200091","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:17:24Z"
"spotify:track:7eVu7FI02cTicLEgVtUvwF","ZOO","spotify:artist:6SKusTjOAPsTZ6kareKQdm, spotify:artist:3DZrLuJOQFKqV2sjMsKb1V, spotify:artist:5wrZ59w1ndSBlPeUj2f6Fs, spotify:artist:5yyf4YDCKGaa71SC7KRw2L, spotify:artist:2P1id80CMwR5R5cwcyIIAi","TAEYONG, JENO, HENDERY, YANGYANG, GISELLE","spotify:album:3dn2in6doTc6zfA0G2UFDZ","2021 Winter SMTOWN : SMCU EXPRESS","spotify:artist:49VtaZvoqBgZHQxSqlCUyp","SMTOWN","2021-12-27","https://i.scdn.co/image/ab67616d0000b27326b7dce0a74da7f7f6c7f193","1","2","177413","https://p.scdn.co/mp3-preview/b03d9b45dc478429ce32db135524da9e903fb177?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","KRA302100403","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:17:33Z"
